run_id,acf_returns_1,acf_abs_returns_1,acf_squared_returns_1,return_kurtosis,return_skewness,return_p01,return_p05,return_p95,return_p99,extreme_negative_1pct,extreme_negative_5pct,liquidation_concentration_top10,corr_liq_negative_return,corr_margin_negative_return
81,-0.06815162521239336,-0.021759809623590625,-0.029479014859855285,-0.20181057947699044,0.050168800971172205,-0.06639144006421585,-0.0511148793143308,0.048296017667037575,0.07203568101461864,0.01,0.05,0.9989683520372266,0.35881103081379556,0.28138783513316484
82,0.032524778279311856,-0.06747826253021079,-0.04712465051928506,-0.11885144164493155,0.15412398213718095,-0.06910396788383506,-0.05295529455122907,0.054593856264105824,0.07475904276955464,0.01,0.05,1.0000000000000002,0.28338533086719203,0.24039080248432498
83,0.06227626129177914,-0.05949920715150541,-0.01672268482755115,-0.2785448312607741,-0.021577705495518077,-0.07540586402237619,-0.04929895282200844,0.048670823804710474,0.06375171182697574,0.01,0.05,0.9856961254156836,0.3360241272627473,0.2688934798694995
84,0.04021675950389686,-0.10709139977913497,-0.0939451134931963,-0.33240973889596104,-0.07159432341064158,-0.06517791026281729,-0.05247585916657667,0.05154742574566359,0.06686268483594997,0.01,0.05,1.0,0.21899416550583503,0.22281899929022034
85,-0.047629509131536275,0.011861728801767571,-0.015636435116745857,-0.3072761938237303,0.07056571843946362,-0.06774403357504932,-0.048153461665331646,0.05024544982657176,0.07673564777917957,0.01,0.05,0.9999999999999999,0.05559530162048518,0.05600398390100343
86,-0.046884377793332946,-0.01594259966828461,-0.05500370629319654,-0.037564208380268305,0.19719732947243115,-0.05984492293824651,-0.04705791660650991,0.05482834429518751,0.07322183741093102,0.01,0.05,0.0,,
87,-0.019202391393565874,-0.018072169275916445,-0.027473627579583198,-0.27198196043192713,-0.06616303513939133,-0.065608101854898,-0.05081736384835705,0.05098844053759791,0.07092232517334959,0.01,0.05,1.0,-0.04033964547835955,0.02767185866729527
88,0.0037234474775940216,-0.058975296277013624,-0.032655665708801754,-0.12527064364120566,-0.062158015461742384,-0.07269816999117036,-0.04849051423994493,0.04791307091827626,0.06237103743054415,0.01,0.05,1.0,0.33036340646777856,0.28789155904612307
89,-0.06669589526281124,-0.013457977613458818,-0.03401860282142826,0.06074672819361826,0.37407914682263965,-0.06155104191128736,-0.04551138669501144,0.05927132848986281,0.07610563579171004,0.01,0.05,1.0,0.12737377738272676,0.09917896784780805
90,0.03392557863715556,-0.004261226360795232,-0.0038251449169856106,0.1628581344959854,0.021287373029494034,-0.06449478631368413,-0.04990487117220352,0.05440039272131756,0.07391695093936564,0.01,0.05,1.0,0.26880551738825376,0.250056740902346
91,-0.0070292105461873715,-0.011103289978893802,-0.005040838939480525,-0.5227505453904056,0.023288783196955255,-0.06620970887962481,-0.04846803589461535,0.0542462386969208,0.06375055818669755,0.01,0.05,1.0,0.3202406010236821,0.3028624044345966
92,-0.018933427350089387,-0.028347226133722956,-0.024343223124780385,-0.14357529724624785,0.22202606353247673,-0.060491913879709716,-0.04842588995831936,0.05173998646123756,0.07640638269898471,0.01,0.05,1.0,0.11376254488916698,0.1344970853636466
93,0.07066761539271003,0.03469160700270372,0.08417543759761215,-0.026241510900134823,-0.11396244671410026,-0.08147467017736866,-0.052984728696599766,0.048816012285616384,0.0710396475018784,0.01,0.05,0.9999999999999998,0.23771929710944528,0.1934257620641972
